,date,admits
1,2/28/20,0
2,2/29/20,0
3,3/1/20,0
4,3/2/20,0
5,3/3/20,0
6,3/4/20,0
7,3/5/20,0
8,3/6/20,0
9,3/7/20,0
10,3/8/20,0
11,3/9/20,0
12,3/10/20,0
13,3/11/20,0
14,3/12/20,0
15,3/13/20,1
16,3/14/20,0
17,3/15/20,2
18,3/16/20,3
19,3/17/20,3
20,3/18/20,4
21,3/19/20,5
22,3/20/20,1
23,3/21/20,2
24,3/22/20,5
25,3/23/20,3
26,3/24/20,12
27,3/25/20,10
28,3/26/20,9
29,3/27/20,4
30,3/28/20,3
31,3/29/20,2
32,3/30/20,14
33,3/31/20,16
34,4/1/20,15
35,4/2/20,8
36,4/3/20,7
37,4/4/20,5
38,4/5/20,3
39,4/6/20,10
40,4/7/20,17
41,4/8/20,6
42,4/9/20,6
43,4/10/20,4
44,4/11/20,4
45,4/12/20,5
46,4/13/20,9
47,4/14/20,9
48,4/15/20,20
49,4/16/20,6
50,4/17/20,7
51,4/18/20,6
52,4/19/20,0
53,4/20/20,3
54,4/21/20,8
55,4/22/20,21
56,4/23/20,28
57,4/24/20,20
58,4/25/20,48
59,4/26/20,15
60,4/27/20,12
61,4/28/20,10
62,4/29/20,21
63,4/30/20,15
64,5/1/20,18
65,5/2/20,11
66,5/3/20,11
67,5/4/20,10
68,5/5/20,16
69,5/6/20,11
70,5/7/20,13
71,5/8/20,18
72,5/9/20,11
73,5/10/20,10
74,5/11/20,25
75,5/12/20,33
76,5/13/20,17
77,5/14/20,22
78,5/15/20,14
79,5/16/20,19
80,5/17/20,11
81,5/18/20,31
82,5/19/20,28
83,5/20/20,18
84,5/21/20,25
85,5/22/20,22
86,5/23/20,12
87,5/24/20,18
88,5/25/20,15
89,5/26/20,11
90,5/27/20,11
91,5/28/20,20
92,5/29/20,26
93,5/30/20,8
94,5/31/20,3
95,6/1/20,31
96,6/2/20,25
97,6/3/20,28
98,6/4/20,427
99,6/5/20,112
100,6/6/20,45
101,6/7/20,13
102,6/8/20,59
103,6/9/20,157
104,6/10/20,85
105,6/11/20,73
106,6/12/20,154
107,6/13/20,67
108,6/14/20,110
109,6/15/20,196
110,6/16/20,234
111,6/17/20,196
112,6/18/20,99
113,6/19/20,203
114,6/20/20,400
115,6/21/20,205
116,6/22/20,200
117,6/23/20,285
118,6/24/20,458
119,6/25/20,265
120,6/26/20,5339
121,6/27/20,395
122,6/28/20,749
123,6/29/20,497
124,6/30/20,724
125,7/1/20,696
126,7/2/20,592
127,7/3/20,326
128,7/4/20,290
129,7/5/20,480
130,7/6/20,643
131,7/7/20,770
132,7/8/20,779
133,7/9/20,960
134,7/10/20,543
135,7/11/20,465
136,7/12/20,362
137,7/13/20,778
138,7/14/20,705
139,7/15/20,698
140,7/16/20,455
141,7/17/20,353
142,7/18/20,388
143,7/19/20,366
144,7/20/20,459
145,7/21/20,555
146,7/22/20,483
147,7/23/20,418
148,7/24/20,340
149,7/25/20,220
150,7/26/20,190
151,7/27/20,473
152,7/28/20,410
153,7/29/20,333
154,7/30/20,281
155,7/31/20,401
156,8/1/20,218
157,8/2/20,321
158,8/3/20,324
159,8/4/20,592
160,8/5/20,308
161,8/6/20,661
162,8/7/20,719
163,8/8/20,1232
164,8/9/20,603
165,8/10/20,432
166,8/11/20,498
167,8/12/20,483
168,8/13/20,428
169,8/14/20,1368
170,8/15/20,469
171,8/16/20,79
172,8/17/20,572
173,8/18/20,479
174,8/19/20,262
175,8/20/20,295
176,8/21/20,284
177,8/22/20,157
178,8/23/20,139
179,8/24/20,229
180,8/25/20,250
181,8/26/20,201
182,8/27/20,343
183,8/28/20,167
184,8/29/20,316
185,8/30/20,70
186,8/31/20,227
187,9/1/20,159
188,9/2/20,110
189,9/3/20,214
190,9/4/20,163
191,9/5/20,120
192,9/6/20,78
193,9/7/20,113
194,9/8/20,243
195,9/9/20,241
196,9/10/20,303
197,9/11/20,114
198,9/12/20,155
199,9/13/20,93
200,9/14/20,263
201,9/15/20,212
202,9/16/20,199
203,9/17/20,223
204,9/18/20,262
205,9/19/20,121
206,9/20/20,70
207,9/21/20,212
208,9/22/20,185
209,9/23/20,193
210,9/24/20,356
211,9/25/20,181
212,9/26/20,45
213,9/27/20,53
214,9/28/20,274
215,9/29/20,153
216,9/30/20,162
217,10/1/20,150
218,10/2/20,112
219,10/3/20,110
220,10/4/20,43
221,10/5/20,194
222,10/6/20,366
223,10/7/20,125
224,10/8/20,93
225,10/9/20,168
226,10/10/20,83
227,10/11/20,61
228,10/12/20,275
229,10/13/20,193
230,10/14/20,187
231,10/15/20,141
232,10/16/20,252
233,10/17/20,112
234,10/18/20,97
235,10/19/20,181
236,10/20/20,166
237,10/21/20,168
238,10/22/20,183
239,10/23/20,176
240,10/24/20,85
241,10/25/20,54
242,10/26/20,220
243,10/27/20,209
244,10/28/20,193
245,10/29/20,172
246,10/30/20,195
247,10/31/20,82
248,11/1/20,84
249,11/2/20,193
250,11/3/20,174
251,11/4/20,269
252,11/5/20,260
253,11/6/20,216
254,11/7/20,121
255,11/8/20,296
256,11/9/20,401
257,11/10/20,235
258,11/11/20,332
259,11/12/20,294
260,11/13/20,467
261,11/14/20,162
262,11/15/20,227
263,11/16/20,374
264,11/17/20,419
265,11/18/20,495
266,11/19/20,686
267,11/20/20,529
268,11/21/20,459
269,11/22/20,415
270,11/23/20,976
271,11/24/20,572
272,11/25/20,425
273,11/26/20,197
274,11/27/20,664
275,11/28/20,657
276,11/29/20,463
277,11/30/20,591
278,12/1/20,736
279,12/2/20,624
280,12/3/20,675
281,12/4/20,495
282,12/5/20,592
283,12/6/20,552
284,12/7/20,797
285,12/8/20,622
286,12/9/20,728
287,12/10/20,948
288,12/11/20,681
289,12/12/20,590
290,12/13/20,474
291,12/14/20,1159
292,12/15/20,1306
293,12/16/20,900
294,12/17/20,952
295,12/18/20,879
296,12/19/20,299
297,12/20/20,1063
298,12/21/20,1629
299,12/22/20,1255
300,12/23/20,800
301,12/24/20,667
302,12/25/20,707
303,12/26/20,657
304,12/27/20,191
305,12/28/20,1321
306,12/29/20,1454
307,12/30/20,1161
308,12/31/20,566
309,1/1/21,0
310,1/2/21,971
311,1/3/21,398
312,1/4/21,2694
313,1/5/21,1372
314,1/6/21,1251
315,1/7/21,1277
316,1/8/21,1113
317,1/9/21,482
318,1/10/21,0
319,1/11/21,2562
320,1/12/21,855
321,1/13/21,1985
322,1/14/21,1813
323,1/15/21,1472
324,1/16/21,303
325,1/17/21,411
326,1/18/21,697
327,1/19/21,3007
328,1/20/21,1232
329,1/21/21,1547
330,1/22/21,868
331,1/23/21,367
332,1/24/21,311
333,1/25/21,1895
334,1/26/21,1200
335,1/27/21,1209
336,1/28/21,1321
337,1/29/21,1054
338,1/30/21,280
339,1/31/21,1811
340,2/1/21,2225
341,2/2/21,1147
342,2/3/21,831
343,2/4/21,881
344,2/5/21,775
345,2/6/21,199
346,2/7/21,260
347,2/8/21,1125
348,2/9/21,818
349,2/10/21,561
350,2/11/21,571
351,2/12/21,485
352,2/13/21,-5
353,2/14/21,0
354,2/15/21,73
355,2/16/21,13
356,2/17/21,7
